para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 100}",0.7920525844039439,0.8766572920851747,0.8486970050563983,0.8624505928853756,0.43792446819577346,0.7116386693526107,2182,307,[2 1 0],[0.         0.45337995 1.        ],[0.         0.87665729 1.        ]
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 100}",0.7926501344487601,0.8754519887505022,0.8501755754974639,0.8626286619160729,0.4411289687222626,0.7139497705990274,2179,310,[2 1 0],[0.         0.44755245 1.        ],[0.         0.87545199 1.        ]
"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 50}",0.799521959964147,0.8858979509843311,0.8506944444444444,0.8679393820114151,0.45425905535136013,0.7174244999676901,2205,284,[2 1 0],[0.         0.45104895 1.        ],[0.         0.88589795 1.        ]
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 500}",0.7872721840454138,0.8746484531940538,0.8447807528133489,0.8594551914725622,0.42373104136405065,0.7042239934967939,2177,312,[2 1 0],[0.         0.46620047 1.        ],[0.         0.87464845 1.        ]
"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 3000}",0.7878697340902301,0.8741961414790996,0.8456454121306376,0.8596837944664031,0.4266435190075285,0.7060154164904229,2175,313,[2 1 0],[0.         0.46216531 1.        ],[0.         0.87419614 1.        ]
