para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'warm_start': True, 'solver': 'saga', 'penalty': 'none', 'multi_class': 'ovr', 'max_iter': 1000, 'fit_intercept': False}",0.8455333134149985,0.9104057854560065,0.88515625,0.89760348583878,0.5845271595948635,0.7838742213993318,2266,223,[2 1 0],[0.         0.34265734 1.        ],[0.         0.91040579 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l2', 'multi_class': 'ovr', 'max_iter': 1000, 'fit_intercept': True}",0.8547953391096504,0.9240658899156288,0.8856372737774355,0.9044435705859221,0.6051335488075025,0.7889560218808913,2300,189,[2 1 0],[0.         0.34615385 1.        ],[0.         0.92406589 1.        ]
"{'warm_start': True, 'solver': 'saga', 'penalty': 'l2', 'multi_class': 'ovr', 'max_iter': 500, 'fit_intercept': True}",0.8556916641768748,0.9236641221374046,0.8869598765432098,0.9049399724463688,0.608158303910322,0.7910861403227816,2299,190,[2 1 0],[0.         0.34149184 1.        ],[0.         0.92366412 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'none', 'multi_class': 'ovr', 'max_iter': 500, 'fit_intercept': False}",0.844338213325366,0.9168340699075934,0.8790446841294299,0.8975417895771878,0.5765411403274572,0.7754333519701138,2282,207,[2 1 0],[0.         0.36596737 1.        ],[0.         0.91683407 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'none', 'multi_class': 'ovr', 'max_iter': 500, 'fit_intercept': False}",0.8404541380340603,0.9159967845659164,0.8751920122887865,0.8951296150824823,0.5650754217735885,0.7688249347742272,2279,209,[2 1 0],[0.         0.37834692 1.        ],[0.         0.91599678 1.        ]
