para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 1000, 'fit_intercept': False}",0.8969657634269025,0.9506384303955154,0.9201668006430869,0.935154454940005,0.6869922367099708,0.8278071468724699,18315,951,[2 1 0],[0.         0.29502414 1.        ],[0.         0.95063843 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 3000, 'fit_intercept': True}",0.8972497160473796,0.9496522371016298,0.9212951306712321,0.935258785942492,0.6885444770872459,0.8297277152830838,18296,970,[2 1 0],[0.         0.29019681 1.        ],[0.         0.94965224 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 5000, 'fit_intercept': False}",0.8972497160473796,0.9489774732689712,0.9218474260071597,0.9352157344177601,0.6889463526291011,0.8305971658955327,18283,983,[2 1 0],[0.         0.28778314 1.        ],[0.         0.94897747 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l2', 'multi_class': 'ovr', 'max_iter': 500, 'fit_intercept': False}",0.8980610092487425,0.9492369978199938,0.9225646975735257,0.935710813783929,0.6915760348545366,0.8321194272427113,18288,978,[2 1 0],[0.         0.28499814 1.        ],[0.       0.949237 1.      ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'none', 'multi_class': 'ovr', 'max_iter': 5000, 'fit_intercept': False}",0.8988317377900373,0.9502231911138794,0.9226388468904344,0.936227881763322,0.6936370540326365,0.8326125238896541,18307,959,[2 1 0],[0.         0.28499814 1.        ],[0.         0.95022319 1.        ]
