para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'weights': 'distance', 'p': 2, 'n_neighbors': 100, 'n_jobs': -1, 'leaf_size': 1000}",0.8507605388961321,0.9288177065954843,0.8857658039881204,0.9067810413160323,0.5376385981228883,0.7502083759707732,8351,640,[2 1 0],[0.         0.42840095 1.        ],[0.         0.92881771 1.        ]
"{'weights': 'distance', 'p': 1, 'n_neighbors': 50, 'n_jobs': -1, 'leaf_size': 200}",0.8765646731571627,0.9470581692803915,0.9002008668992494,0.9230352303523035,0.6175611609455447,0.7857057658976571,8515,476,[2 1 0],[0.         0.37564664 1.        ],[0.         0.94705817 1.        ]
"{'weights': 'distance', 'p': 1, 'n_neighbors': 50, 'n_jobs': -1, 'leaf_size': 100}",0.8676981919332406,0.9417194972750529,0.8945589012150026,0.9175335934113568,0.5892460448162922,0.7722922993736984,8467,524,[2 1 0],[0.        0.3971349 1.       ],[0.        0.9417195 1.       ]
"{'weights': 'distance', 'p': 1, 'n_neighbors': 50, 'n_jobs': -1, 'leaf_size': 3000}",0.8788247566063978,0.9488320355951056,0.9013102282333052,0.9244608215021134,0.6246273949741685,0.7886562723719361,8530,460,[2 1 0],[0.         0.37151949 1.        ],[0.         0.94883204 1.        ]
"{'weights': 'distance', 'p': 1, 'n_neighbors': 100, 'n_jobs': -1, 'leaf_size': 3000}",0.859787899860918,0.9339265850945495,0.8917684545937334,0.9123607715294757,0.5666401311503485,0.7642982169705047,8396,594,[2 1 0],[0.         0.40533015 1.        ],[0.         0.93392659 1.        ]
