para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 100}",0.7868395371532134,0.8743907011623547,0.8444685859134529,0.8591691995947314,0.4225621309176369,0.7036445077318028,4664,670,[2 1 0],[0.         0.46710169 1.        ],[0.        0.8743907 1.       ]
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 100}",0.7896277708071936,0.8734533183352081,0.8481703986892408,0.86062621224716,0.4329635695798642,0.7099729886945207,4659,675,[2 1 0],[0.         0.45350734 1.        ],[0.         0.87345332 1.        ]
"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 50}",0.7999442353269204,0.8901387326584177,0.848311595497588,0.8687219833501051,0.4518422936936691,0.7142373924303509,4748,586,[2 1 0],[0.         0.46166395 1.        ],[0.         0.89013873 1.        ]
"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 500}",0.7867001254705144,0.8706411698537683,0.8468271334792122,0.8585690515806988,0.42591115441791094,0.7069355930834911,4644,690,[2 1 0],[0.         0.45676998 1.        ],[0.         0.87064117 1.        ]
"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'n_jobs': -1, 'leaf_size': 3000}",0.7906036525860867,0.8807649043869517,0.8443565780014378,0.8621765461552579,0.4290203914502977,0.7049284010787396,4698,636,[2 1 0],[0.        0.4709081 1.       ],[0.        0.8807649 1.       ]
