para,acc,recall,precision,f1,mcc,auc,tp,fn,threshold,fpr,tpr
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 1000, 'fit_intercept': False}",0.8966536288570187,0.9497275052830608,0.9205476498490729,0.9349099468987793,0.6864860742826275,0.8282845959191758,8539,452,[2 1 0],[0.         0.29315831 1.        ],[0.         0.94972751 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 3000, 'fit_intercept': True}",0.8996870653685675,0.9505060616171728,0.9233927606699082,0.9367532609887098,0.6963639830182451,0.8341865763716584,8546,445,[2 1 0],[0.         0.28213291 1.        ],[0.         0.95050606 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l1', 'multi_class': 'ovr', 'max_iter': 5000, 'fit_intercept': False}",0.8979485396383866,0.9433878322767212,0.9272985678364492,0.9352740103649797,0.6948640349177317,0.8393819384224832,8482,509,[2 1 0],[0.         0.26462396 1.        ],[0.         0.94338783 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'l2', 'multi_class': 'ovr', 'max_iter': 500, 'fit_intercept': False}",0.8981223922114048,0.9476084538375973,0.9239696312364425,0.9356397583745194,0.6928284650577535,0.8343849747310499,8519,471,[2 1 0],[0.        0.2788385 1.       ],[0.         0.94760845 1.        ]
"{'warm_start': False, 'solver': 'saga', 'penalty': 'none', 'multi_class': 'ovr', 'max_iter': 5000, 'fit_intercept': False}",0.8990785813630042,0.950166852057842,0.9229605618584549,0.9363661277062209,0.6945693016973006,0.8332775389963036,8542,448,[2 1 0],[0.         0.28361177 1.        ],[0.         0.95016685 1.        ]
